learning rate = 0.75

Training . . . 
Episodes: 268, score: 1.0, survived: 298.0, eps: 0.8076023476546906
Episodes: 269, score: 1.0, survived: 358.0, eps: 0.8069562657765669
Episodes: 270, score: 1.0, survived: 240.0, eps: 0.8063107007639456
Episodes: 271, score: 0.0, survived: 215.0, eps: 0.8056656522033344
Episodes: 272, score: 0.0, survived: 137.0, eps: 0.8050211196815718
Episodes: 273, score: 1.0, survived: 273.0, eps: 0.8043771027858265
Episodes: 274, score: 1.0, survived: 292.0, eps: 0.8037336011035978
Episodes: 275, score: 0.0, survived: 92.0, eps: 0.8030906142227149
Episodes: 276, score: 1.0, survived: 106.0, eps: 0.8024481417313367
Episodes: 277, score: 1.0, survived: 929.0, eps: 0.8018061832179516
Episodes: 278, score: 1.0, survived: 512.0, eps: 0.8011647382713772
Episodes: 279, score: 1.0, survived: 479.0, eps: 0.8005238064807602
Episodes: 280, score: 1.0, survived: 434.0, eps: 0.7998833874355755
Episodes: 281, score: 1.0, survived: 324.0, eps: 0.799243480725627
Episodes: 282, score: 1.0, survived: 634.0, eps: 0.7986040859410465
Episodes: 283, score: 2.0, survived: 676.0, eps: 0.7979652026722936
Episodes: 284, score: 1.0, survived: 1122.0, eps: 0.7973268305101558
Episodes: 285, score: 1.0, survived: 169.0, eps: 0.7966889690457477
Episodes: 286, score: 2.0, survived: 543.0, eps: 0.796051617870511
Episodes: 287, score: 1.0, survived: 416.0, eps: 0.7954147765762146
Episodes: 288, score: 3.0, survived: 625.0, eps: 0.7947784447549536
Episodes: 289, score: 2.0, survived: 844.0, eps: 0.7941426219991496
Episodes: 290, score: 1.0, survived: 193.0, eps: 0.7935073079015503
Episodes: 291, score: 0.0, survived: 171.0, eps: 0.7928725020552291
Episodes: 292, score: 0.0, survived: 125.0, eps: 0.7922382040535849
Episodes: 293, score: 1.0, survived: 349.0, eps: 0.791604413490342
Episodes: 294, score: 3.0, survived: 565.0, eps: 0.7909711299595498
Episodes: 295, score: 2.0, survived: 475.0, eps: 0.7903383530555821
Episodes: 296, score: 1.0, survived: 234.0, eps: 0.7897060823731376
Episodes: 297, score: 3.0, survived: 1022.0, eps: 0.789074317507239
Episodes: 298, score: 0.0, survived: 199.0, eps: 0.7884430580532332
Episodes: 299, score: 0.0, survived: 55.0, eps: 0.7878123036067907
Episodes: 300, score: 1.0, survived: 130.0, eps: 0.7871820537639053
Episodes: 301, score: 0.0, survived: 685.0, eps: 0.7865523081208942
Episodes: 302, score: 0.0, survived: 82.0, eps: 0.7859230662743975
Episodes: 303, score: 0.0, survived: 169.0, eps: 0.7852943278213779
Episodes: 304, score: 1.0, survived: 363.0, eps: 0.7846660923591208
Episodes: 305, score: 2.0, survived: 764.0, eps: 0.7840383594852335
Episodes: 306, score: 0.0, survived: 180.0, eps: 0.7834111287976453
Episodes: 307, score: 1.0, survived: 303.0, eps: 0.7827843998946071
Episodes: 308, score: 2.0, survived: 648.0, eps: 0.7821581723746914
Episodes: 309, score: 4.0, survived: 1145.0, eps: 0.7815324458367917
Episodes: 310, score: 0.0, survived: 109.0, eps: 0.7809072198801222
Episodes: 311, score: 0.0, survived: 100.0, eps: 0.7802824941042181
Episodes: 312, score: 3.0, survived: 248.0, eps: 0.7796582681089347
Episodes: 313, score: 1.0, survived: 276.0, eps: 0.7790345414944475
Episodes: 314, score: 1.0, survived: 372.0, eps: 0.778411313861252
Episodes: 315, score: 2.0, survived: 177.0, eps: 0.7777885848101629
Episodes: 316, score: 1.0, survived: 157.0, eps: 0.7771663539423147
Episodes: 317, score: 0.0, survived: 156.0, eps: 0.7765446208591609
Episodes: 318, score: 0.0, survived: 192.0, eps: 0.7759233851624735
Episodes: 319, score: 1.0, survived: 76.0, eps: 0.7753026464543435
Episodes: 320, score: 0.0, survived: 122.0, eps: 0.77468240433718
Episodes: 321, score: 0.0, survived: 182.0, eps: 0.7740626584137102
Episodes: 322, score: 1.0, survived: 65.0, eps: 0.7734434082869792
Episodes: 323, score: 1.0, survived: 554.0, eps: 0.7728246535603496
Episodes: 324, score: 3.0, survived: 397.0, eps: 0.7722063938375012
Episodes: 325, score: 1.0, survived: 137.0, eps: 0.7715886287224312
Episodes: 326, score: 4.0, survived: 496.0, eps: 0.7709713578194533
Episodes: 327, score: 2.0, survived: 885.0, eps: 0.7703545807331976
Episodes: 328, score: 4.0, survived: 511.0, eps: 0.7697382970686111
Episodes: 329, score: 2.0, survived: 220.0, eps: 0.7691225064309561
Episodes: 330, score: 1.0, survived: 516.0, eps: 0.7685072084258113
Episodes: 331, score: 2.0, survived: 604.0, eps: 0.7678924026590707
Episodes: 332, score: 1.0, survived: 99.0, eps: 0.7672780887369434
Episodes: 333, score: 4.0, survived: 808.0, eps: 0.7666642662659537
Episodes: 334, score: 0.0, survived: 189.0, eps: 0.766050934852941
Episodes: 335, score: 1.0, survived: 235.0, eps: 0.7654380941050586
Episodes: 336, score: 2.0, survived: 718.0, eps: 0.7648257436297745
Episodes: 337, score: 1.0, survived: 151.0, eps: 0.7642138830348707
Episodes: 338, score: 0.0, survived: 111.0, eps: 0.7636025119284428
Episodes: 339, score: 1.0, survived: 402.0, eps: 0.7629916299189
Episodes: 340, score: 1.0, survived: 239.0, eps: 0.7623812366149649
Episodes: 341, score: 2.0, survived: 1194.0, eps: 0.7617713316256729
