Training . . . 
Episodes: 364, score: 1.0, survived: 181.0, eps: 0.7478773971546698
Episodes: 365, score: 2.0, survived: 657.0, eps: 0.7472790952369461
Episodes: 366, score: 1.0, survived: 391.0, eps: 0.7466812719607565
Episodes: 367, score: 1.0, survived: 228.0, eps: 0.7460839269431879
Episodes: 368, score: 0.0, survived: 84.0, eps: 0.7454870598016333
Episodes: 369, score: 0.0, survived: 108.0, eps: 0.744890670153792
Episodes: 370, score: 2.0, survived: 126.0, eps: 0.744294757617669
Episodes: 371, score: 1.0, survived: 97.0, eps: 0.7436993218115748
Episodes: 372, score: 1.0, survived: 212.0, eps: 0.7431043623541256
Episodes: 373, score: 2.0, survived: 342.0, eps: 0.7425098788642422
Episodes: 374, score: 1.0, survived: 514.0, eps: 0.7419158709611509
Episodes: 375, score: 1.0, survived: 113.0, eps: 0.7413223382643819
Episodes: 376, score: 3.0, survived: 238.0, eps: 0.7407292803937704
Episodes: 377, score: 0.0, survived: 87.0, eps: 0.7401366969694554
Episodes: 378, score: 1.0, survived: 149.0, eps: 0.7395445876118798
Episodes: 379, score: 2.0, survived: 684.0, eps: 0.7389529519417902
Episodes: 380, score: 2.0, survived: 343.0, eps: 0.7383617895802368
Episodes: 381, score: 1.0, survived: 496.0, eps: 0.7377711001485726
Episodes: 382, score: 3.0, survived: 393.0, eps: 0.7371808832684538
Episodes: 383, score: 1.0, survived: 401.0, eps: 0.736591138561839
Episodes: 384, score: 0.0, survived: 116.0, eps: 0.7360018656509895
Episodes: 385, score: 1.0, survived: 270.0, eps: 0.7354130641584686
Episodes: 386, score: 1.0, survived: 129.0, eps: 0.7348247337071419
Episodes: 387, score: 2.0, survived: 234.0, eps: 0.7342368739201761
Episodes: 388, score: 2.0, survived: 350.0, eps: 0.7336494844210399
