Starting Training
Epoch: 255/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 256/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 257/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 258/3000, Score: 24, Tetrominoes 26, Cleared lines: 0
Epoch: 259/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 260/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 261/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 262/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 263/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 264/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 265/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 266/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 267/3000, Score: 24, Tetrominoes 26, Cleared lines: 0
Epoch: 268/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 269/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 270/3000, Score: 8, Tetrominoes 10, Cleared lines: 0
Epoch: 271/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 272/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 273/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 274/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 275/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 276/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 277/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 278/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 279/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 280/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 281/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 282/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 283/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 284/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 285/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 286/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 287/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 288/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 289/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 290/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 291/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 292/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 293/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 294/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 295/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 296/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 297/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 298/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 299/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
